DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y15-19,T,NR,HR,2000-W03,4,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y20-24,T,NR,HR,2000-W03,5,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y25-29,T,NR,HR,2000-W03,3,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y30-34,T,NR,HR,2000-W03,6,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y35-39,T,NR,HR,2000-W03,8,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y40-44,T,NR,HR,2000-W03,20,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y45-49,T,NR,HR,2000-W03,38,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y5-9,T,NR,HR,2000-W03,0,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y50-54,T,NR,HR,2000-W03,27,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y55-59,T,NR,HR,2000-W03,54,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y60-64,T,NR,HR,2000-W03,88,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y65-69,T,NR,HR,2000-W03,135,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y70-74,T,NR,HR,2000-W03,186,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y75-79,T,NR,HR,2000-W03,195,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y80-84,T,NR,HR,2000-W03,127,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y85-89,T,NR,HR,2000-W03,174,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_GE90,T,NR,HR,2000-W03,87,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_LT5,T,NR,HR,2000-W03,6,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,TOTAL,T,NR,HR,2000-W04,1270,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,UNK,T,NR,HR,2000-W04,0,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y10-14,T,NR,HR,2000-W04,1,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y15-19,T,NR,HR,2000-W04,5,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y20-24,T,NR,HR,2000-W04,4,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y25-29,T,NR,HR,2000-W04,2,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y30-34,T,NR,HR,2000-W04,2,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y35-39,T,NR,HR,2000-W04,11,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y40-44,T,NR,HR,2000-W04,14,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y45-49,T,NR,HR,2000-W04,34,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y5-9,T,NR,HR,2000-W04,1,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y50-54,T,NR,HR,2000-W04,37,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y55-59,T,NR,HR,2000-W04,47,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y60-64,T,NR,HR,2000-W04,68,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y65-69,T,NR,HR,2000-W04,175,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y70-74,T,NR,HR,2000-W04,215,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y75-79,T,NR,HR,2000-W04,233,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y80-84,T,NR,HR,2000-W04,145,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y85-89,T,NR,HR,2000-W04,165,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_GE90,T,NR,HR,2000-W04,100,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_LT5,T,NR,HR,2000-W04,11,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,TOTAL,T,NR,HR,2000-W05,1328,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,UNK,T,NR,HR,2000-W05,0,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y10-14,T,NR,HR,2000-W05,1,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y15-19,T,NR,HR,2000-W05,4,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y20-24,T,NR,HR,2000-W05,1,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y25-29,T,NR,HR,2000-W05,3,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y30-34,T,NR,HR,2000-W05,4,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y35-39,T,NR,HR,2000-W05,10,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y40-44,T,NR,HR,2000-W05,16,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y45-49,T,NR,HR,2000-W05,32,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y5-9,T,NR,HR,2000-W05,0,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y50-54,T,NR,HR,2000-W05,41,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y55-59,T,NR,HR,2000-W05,60,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y60-64,T,NR,HR,2000-W05,108,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y65-69,T,NR,HR,2000-W05,156,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y70-74,T,NR,HR,2000-W05,201,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y75-79,T,NR,HR,2000-W05,258,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y80-84,T,NR,HR,2000-W05,134,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y85-89,T,NR,HR,2000-W05,192,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_GE90,T,NR,HR,2000-W05,102,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_LT5,T,NR,HR,2000-W05,5,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,TOTAL,T,NR,HR,2000-W06,1240,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,UNK,T,NR,HR,2000-W06,0,
